IdPedido;fechaPedido;IdProvedorFK;IdUsuarioFK
1001;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
;2024-07-01;1;104
;2024-07-02;2;105
;2024-07-03;3;106
;2024-07-04;4;107
;2024-07-05;5;104
